"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18","state_fips_code","county_fips_code"
"101","AL","Fayette",17.6,41.5,27.9,12.9,19,65
"102","AL","Fayette",17.6,41.5,27.9,12.9,21,67
"103","AL","Fayette",17.6,41.5,27.9,12.9,39,47
"104","AL","Fayette",17.6,41.5,27.9,12.9,42,51
"105","AL","Fayette",17.6,41.5,27.9,12.9,47,47
"106","AL","Fayette",17.6,41.5,27.9,12.9,48,149
"107","AL","Fayette",17.6,41.5,27.9,12.9,54,19
"108","AL","Franklin",23.2,36.8,27.1,12.9,1,59
"109","AL","Franklin",23.2,36.8,27.1,12.9,5,47
"110","AL","Franklin",23.2,36.8,27.1,12.9,12,37
"111","AL","Franklin",23.2,36.8,27.1,12.9,13,119
"112","AL","Franklin",23.2,36.8,27.1,12.9,16,41
"113","AL","Franklin",23.2,36.8,27.1,12.9,17,55
"114","AL","Franklin",23.2,36.8,27.1,12.9,18,47
"115","AL","Franklin",23.2,36.8,27.1,12.9,19,69
"116","AL","Franklin",23.2,36.8,27.1,12.9,20,59
"117","AL","Franklin",23.2,36.8,27.1,12.9,21,73
"118","AL","Franklin",23.2,36.8,27.1,12.9,22,41
"119","AL","Franklin",23.2,36.8,27.1,12.9,23,7
"120","AL","Franklin",23.2,36.8,27.1,12.9,25,11
"121","AL","Franklin",23.2,36.8,27.1,12.9,28,37
"122","AL","Franklin",23.2,36.8,27.1,12.9,29,71
"123","AL","Franklin",23.2,36.8,27.1,12.9,31,61
"124","AL","Franklin",23.2,36.8,27.1,12.9,36,33
"125","AL","Franklin",23.2,36.8,27.1,12.9,37,69
"126","AL","Franklin",23.2,36.8,27.1,12.9,39,49
"127","AL","Franklin",23.2,36.8,27.1,12.9,42,55
"128","AL","Franklin",23.2,36.8,27.1,12.9,47,51
"129","AL","Franklin",23.2,36.8,27.1,12.9,48,159
"130","AL","Franklin",23.2,36.8,27.1,12.9,50,11
"131","AL","Franklin",23.2,36.8,27.1,12.9,51,67
"132","AL","Franklin",23.2,36.8,27.1,12.9,51,620
"133","AL","Franklin",23.2,36.8,27.1,12.9,53,21
"134","AL","Geneva",20.9,37.2,30.8,11.1,1,61
"135","AL","Greene",24.1,36.8,29,10.1,1,63
"136","AL","Greene",24.1,36.8,29,10.1,5,55
"137","AL","Greene",24.1,36.8,29,10.1,13,133
"138","AL","Greene",24.1,36.8,29,10.1,17,61
"139","AL","Greene",24.1,36.8,29,10.1,18,55
"140","AL","Greene",24.1,36.8,29,10.1,19,73
"141","AL","Greene",24.1,36.8,29,10.1,28,41
"142","AL","Greene",24.1,36.8,29,10.1,29,77
"143","AL","Greene",24.1,36.8,29,10.1,36,39
"144","AL","Greene",24.1,36.8,29,10.1,37,79
"145","AL","Greene",24.1,36.8,29,10.1,39,57
"146","AL","Greene",24.1,36.8,29,10.1,42,59
"147","AL","Greene",24.1,36.8,29,10.1,47,59
"148","AL","Greene",24.1,36.8,29,10.1,51,79
"149","AL","Hale",16.4,42.6,26.9,14.1,1,65
"150","AL","Hale",16.4,42.6,26.9,14.1,48,189
"151","AL","Henry",19.8,33.5,28.7,18,1,67
"152","AL","Henry",19.8,33.5,28.7,18,13,151
"153","AL","Henry",19.8,33.5,28.7,18,17,73
"154","AL","Henry",19.8,33.5,28.7,18,18,65
"155","AL","Henry",19.8,33.5,28.7,18,19,87
"156","AL","Henry",19.8,33.5,28.7,18,21,103
"157","AL","Henry",19.8,33.5,28.7,18,29,83
"158","AL","Henry",19.8,33.5,28.7,18,39,69
"159","AL","Henry",19.8,33.5,28.7,18,47,79
"160","AL","Henry",19.8,33.5,28.7,18,51,89
"161","AL","Houston",14.3,31.6,33,21,1,69
"162","AL","Houston",14.3,31.6,33,21,13,153
"163","AL","Houston",14.3,31.6,33,21,27,55
"164","AL","Houston",14.3,31.6,33,21,47,83
"165","AL","Houston",14.3,31.6,33,21,48,225
"166","AL","Jackson",17.5,40.8,27.5,14.2,1,71
"167","AL","Jackson",17.5,40.8,27.5,14.2,5,67
"168","AL","Jackson",17.5,40.8,27.5,14.2,8,57
"169","AL","Jackson",17.5,40.8,27.5,14.2,12,63
"170","AL","Jackson",17.5,40.8,27.5,14.2,13,157
"171","AL","Jackson",17.5,40.8,27.5,14.2,17,77
"172","AL","Jackson",17.5,40.8,27.5,14.2,18,71
"173","AL","Jackson",17.5,40.8,27.5,14.2,19,97
"174","AL","Jackson",17.5,40.8,27.5,14.2,20,85
"175","AL","Jackson",17.5,40.8,27.5,14.2,21,109
"176","AL","Jackson",17.5,40.8,27.5,14.2,22,49
"177","AL","Jackson",17.5,40.8,27.5,14.2,26,75
"178","AL","Jackson",17.5,40.8,27.5,14.2,27,63
"179","AL","Jackson",17.5,40.8,27.5,14.2,28,59
"180","AL","Jackson",17.5,40.8,27.5,14.2,29,95
"181","AL","Jackson",17.5,40.8,27.5,14.2,37,99
"182","AL","Jackson",17.5,40.8,27.5,14.2,39,79
"183","AL","Jackson",17.5,40.8,27.5,14.2,40,65
"184","AL","Jackson",17.5,40.8,27.5,14.2,41,29
"185","AL","Jackson",17.5,40.8,27.5,14.2,46,71
"186","AL","Jackson",17.5,40.8,27.5,14.2,47,87
"187","AL","Jackson",17.5,40.8,27.5,14.2,48,239
"188","AL","Jackson",17.5,40.8,27.5,14.2,54,35
"189","AL","Jackson",17.5,40.8,27.5,14.2,55,53
"190","AL","Jefferson",10.3,26.8,30.6,32.4,1,73
"191","AL","Jefferson",10.3,26.8,30.6,32.4,5,69
"192","AL","Jefferson",10.3,26.8,30.6,32.4,8,59
"193","AL","Jefferson",10.3,26.8,30.6,32.4,12,65
"194","AL","Jefferson",10.3,26.8,30.6,32.4,13,163
"195","AL","Jefferson",10.3,26.8,30.6,32.4,16,51
"196","AL","Jefferson",10.3,26.8,30.6,32.4,17,81
"197","AL","Jefferson",10.3,26.8,30.6,32.4,18,77
"198","AL","Jefferson",10.3,26.8,30.6,32.4,19,101
"199","AL","Jefferson",10.3,26.8,30.6,32.4,20,87
"200","AL","Jefferson",10.3,26.8,30.6,32.4,21,111
"201","AL","Jefferson",10.3,26.8,30.6,32.4,22,51
"202","AL","Jefferson",10.3,26.8,30.6,32.4,22,53
"203","AL","Jefferson",10.3,26.8,30.6,32.4,28,63
"204","AL","Jefferson",10.3,26.8,30.6,32.4,28,65
"205","AL","Jefferson",10.3,26.8,30.6,32.4,29,99
"206","AL","Jefferson",10.3,26.8,30.6,32.4,30,43
"207","AL","Jefferson",10.3,26.8,30.6,32.4,31,95
"208","AL","Jefferson",10.3,26.8,30.6,32.4,36,45
"209","AL","Jefferson",10.3,26.8,30.6,32.4,39,81
"210","AL","Jefferson",10.3,26.8,30.6,32.4,40,67
"211","AL","Jefferson",10.3,26.8,30.6,32.4,41,31
"212","AL","Jefferson",10.3,26.8,30.6,32.4,42,65
"213","AL","Jefferson",10.3,26.8,30.6,32.4,47,89
"214","AL","Jefferson",10.3,26.8,30.6,32.4,48,245
"215","AL","Jefferson",10.3,26.8,30.6,32.4,53,31
"216","AL","Jefferson",10.3,26.8,30.6,32.4,54,37
"217","AL","Jefferson",10.3,26.8,30.6,32.4,55,55
"218","AL","Lamar",17.6,39.9,30,12.5,1,75
"219","AL","Lamar",17.6,39.9,30,12.5,13,171
"220","AL","Lamar",17.6,39.9,30,12.5,28,73
"221","AL","Lamar",17.6,39.9,30,12.5,48,277
"222","AL","Lauderdale",12.6,36,27.5,23.9,1,77
"223","AL","Lauderdale",12.6,36,27.5,23.9,28,75
"224","AL","Lauderdale",12.6,36,27.5,23.9,47,97
"225","AL","Lawrence",21,41.5,25.8,11.7,1,79
"226","AL","Lawrence",21,41.5,25.8,11.7,5,75
"227","AL","Lawrence",21,41.5,25.8,11.7,17,101
"228","AL","Lawrence",21,41.5,25.8,11.7,18,93
"229","AL","Lawrence",21,41.5,25.8,11.7,21,127
"230","AL","Lawrence",21,41.5,25.8,11.7,28,77
"231","AL","Lawrence",21,41.5,25.8,11.7,29,109
"232","AL","Lawrence",21,41.5,25.8,11.7,39,87
"233","AL","Lawrence",21,41.5,25.8,11.7,42,73
"234","AL","Lawrence",21,41.5,25.8,11.7,46,81
"235","AL","Lawrence",21,41.5,25.8,11.7,47,99
"236","AL","Lee",9.5,24.1,32.3,34.1,1,81
"237","AL","Lee",9.5,24.1,32.3,34.1,5,77
"238","AL","Lee",9.5,24.1,32.3,34.1,12,71
"239","AL","Lee",9.5,24.1,32.3,34.1,13,177
"240","AL","Lee",9.5,24.1,32.3,34.1,17,103
