"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18","state_fips_code","county_fips_code"
"4087","IN","Union",11.4,48,23.7,16.9,12,125
"4088","IN","Union",11.4,48,23.7,16.9,13,291
"4089","IN","Union",11.4,48,23.7,16.9,17,181
"4090","IN","Union",11.4,48,23.7,16.9,18,161
"4091","IN","Union",11.4,48,23.7,16.9,19,175
"4092","IN","Union",11.4,48,23.7,16.9,21,225
"4093","IN","Union",11.4,48,23.7,16.9,22,111
"4094","IN","Union",11.4,48,23.7,16.9,28,145
"4095","IN","Union",11.4,48,23.7,16.9,34,39
"4096","IN","Union",11.4,48,23.7,16.9,35,59
"4097","IN","Union",11.4,48,23.7,16.9,37,179
"4098","IN","Union",11.4,48,23.7,16.9,39,159
"4099","IN","Union",11.4,48,23.7,16.9,41,61
"4100","IN","Union",11.4,48,23.7,16.9,42,119
"4101","IN","Union",11.4,48,23.7,16.9,45,87
"4102","IN","Union",11.4,48,23.7,16.9,46,127
"4103","IN","Union",11.4,48,23.7,16.9,47,173
"4104","IN","Vanderburgh",10.3,32.5,31,26.3,18,163
"4105","IN","Vermillion",9.7,44.2,32.8,13.4,18,165
"4106","IN","Vigo",11.9,32.2,31.4,24.5,18,167
"4107","IN","Wabash",11.7,42.5,27.4,18.4,17,185
"4108","IN","Wabash",11.7,42.5,27.4,18.4,18,169
"4109","IN","Warren",8.5,43.2,29.5,18.9,13,301
"4110","IN","Warren",8.5,43.2,29.5,18.9,17,187
"4111","IN","Warren",8.5,43.2,29.5,18.9,18,171
"4112","IN","Warren",8.5,43.2,29.5,18.9,19,181
"4113","IN","Warren",8.5,43.2,29.5,18.9,21,227
"4114","IN","Warren",8.5,43.2,29.5,18.9,28,149
"4115","IN","Warren",8.5,43.2,29.5,18.9,29,219
"4116","IN","Warren",8.5,43.2,29.5,18.9,34,41
"4117","IN","Warren",8.5,43.2,29.5,18.9,36,113
"4118","IN","Warren",8.5,43.2,29.5,18.9,37,185
"4119","IN","Warren",8.5,43.2,29.5,18.9,39,165
"4120","IN","Warren",8.5,43.2,29.5,18.9,42,123
"4121","IN","Warren",8.5,43.2,29.5,18.9,47,177
"4122","IN","Warren",8.5,43.2,29.5,18.9,51,187
"4123","IN","Warrick",7,31.4,32,29.6,18,173
"4124","IN","Washington",15.4,43.6,27.7,13.2,1,129
"4125","IN","Washington",15.4,43.6,27.7,13.2,5,143
"4126","IN","Washington",15.4,43.6,27.7,13.2,8,121
"4127","IN","Washington",15.4,43.6,27.7,13.2,12,133
"4128","IN","Washington",15.4,43.6,27.7,13.2,13,303
"4129","IN","Washington",15.4,43.6,27.7,13.2,16,87
"4130","IN","Washington",15.4,43.6,27.7,13.2,17,189
"4131","IN","Washington",15.4,43.6,27.7,13.2,18,175
"4132","IN","Washington",15.4,43.6,27.7,13.2,19,183
"4133","IN","Washington",15.4,43.6,27.7,13.2,20,201
"4134","IN","Washington",15.4,43.6,27.7,13.2,21,229
"4135","IN","Washington",15.4,43.6,27.7,13.2,22,117
"4136","IN","Washington",15.4,43.6,27.7,13.2,23,29
"4137","IN","Washington",15.4,43.6,27.7,13.2,24,43
"4138","IN","Washington",15.4,43.6,27.7,13.2,27,163
"4139","IN","Washington",15.4,43.6,27.7,13.2,28,151
"4140","IN","Washington",15.4,43.6,27.7,13.2,29,221
"4141","IN","Washington",15.4,43.6,27.7,13.2,31,177
"4142","IN","Washington",15.4,43.6,27.7,13.2,36,115
"4143","IN","Washington",15.4,43.6,27.7,13.2,37,187
"4144","IN","Washington",15.4,43.6,27.7,13.2,39,167
"4145","IN","Washington",15.4,43.6,27.7,13.2,40,147
"4146","IN","Washington",15.4,43.6,27.7,13.2,41,67
"4147","IN","Washington",15.4,43.6,27.7,13.2,42,125
"4148","IN","Washington",15.4,43.6,27.7,13.2,44,9
"4149","IN","Washington",15.4,43.6,27.7,13.2,47,179
"4150","IN","Washington",15.4,43.6,27.7,13.2,48,477
"4151","IN","Washington",15.4,43.6,27.7,13.2,49,53
"4152","IN","Washington",15.4,43.6,27.7,13.2,50,23
"4153","IN","Washington",15.4,43.6,27.7,13.2,51,191
"4154","IN","Washington",15.4,43.6,27.7,13.2,55,131
"4155","IN","Wayne",13.2,38,30.5,18.2,13,305
"4156","IN","Wayne",13.2,38,30.5,18.2,17,191
"4157","IN","Wayne",13.2,38,30.5,18.2,18,177
"4158","IN","Wayne",13.2,38,30.5,18.2,19,185
"4159","IN","Wayne",13.2,38,30.5,18.2,21,231
"4160","IN","Wayne",13.2,38,30.5,18.2,26,163
"4161","IN","Wayne",13.2,38,30.5,18.2,28,153
"4162","IN","Wayne",13.2,38,30.5,18.2,29,223
"4163","IN","Wayne",13.2,38,30.5,18.2,31,179
"4164","IN","Wayne",13.2,38,30.5,18.2,36,117
"4165","IN","Wayne",13.2,38,30.5,18.2,37,191
"4166","IN","Wayne",13.2,38,30.5,18.2,39,169
"4167","IN","Wayne",13.2,38,30.5,18.2,42,127
"4168","IN","Wayne",13.2,38,30.5,18.2,47,181
"4169","IN","Wayne",13.2,38,30.5,18.2,49,55
"4170","IN","Wayne",13.2,38,30.5,18.2,54,99
"4171","IN","Wells",8.9,40,33,18.1,18,179
"4172","IN","Wells",8.9,40,33,18.1,38,103
"4173","IN","White",11.4,41.4,30.5,16.8,5,145
"4174","IN","White",11.4,41.4,30.5,16.8,13,311
"4175","IN","White",11.4,41.4,30.5,16.8,17,193
"4176","IN","White",11.4,41.4,30.5,16.8,18,181
"4177","IN","White",11.4,41.4,30.5,16.8,32,33
"4178","IN","White",11.4,41.4,30.5,16.8,47,185
"4179","IN","Whitley",7.3,39.7,32.1,20.9,18,183
"4180","IN","Whitley",7.3,39.7,32.1,20.9,21,235
"4181","IA","Adair",5.8,43.1,35.7,15.4,19,1
"4182","IA","Adair",5.8,43.1,35.7,15.4,21,1
"4183","IA","Adair",5.8,43.1,35.7,15.4,29,1
"4184","IA","Adair",5.8,43.1,35.7,15.4,40,1
"4185","IA","Adams",5.9,39.1,37.3,17.7,8,1
"4186","IA","Adams",5.9,39.1,37.3,17.7,16,3
"4187","IA","Adams",5.9,39.1,37.3,17.7,17,1
"4188","IA","Adams",5.9,39.1,37.3,17.7,18,1
"4189","IA","Adams",5.9,39.1,37.3,17.7,19,3
"4190","IA","Adams",5.9,39.1,37.3,17.7,28,1
"4191","IA","Adams",5.9,39.1,37.3,17.7,31,1
"4192","IA","Adams",5.9,39.1,37.3,17.7,38,1
"4193","IA","Adams",5.9,39.1,37.3,17.7,39,1
"4194","IA","Adams",5.9,39.1,37.3,17.7,42,1
"4195","IA","Adams",5.9,39.1,37.3,17.7,53,1
"4196","IA","Adams",5.9,39.1,37.3,17.7,55,1
"4197","IA","Allamakee",12.3,38.9,30.2,18.5,19,5
"4198","IA","Appanoose",9.1,37,36.7,17.1,19,7
"4199","IA","Audubon",10.2,40.1,35.2,14.6,19,9
"4200","IA","Benton",6.1,36.3,34.9,22.6,5,7
"4201","IA","Benton",6.1,36.3,34.9,22.6,18,7
"4202","IA","Benton",6.1,36.3,34.9,22.6,19,11
"4203","IA","Benton",6.1,36.3,34.9,22.6,27,9
"4204","IA","Benton",6.1,36.3,34.9,22.6,28,9
"4205","IA","Benton",6.1,36.3,34.9,22.6,29,15
"4206","IA","Benton",6.1,36.3,34.9,22.6,41,3
"4207","IA","Benton",6.1,36.3,34.9,22.6,47,5
"4208","IA","Benton",6.1,36.3,34.9,22.6,53,5
"4209","IA","Black Hawk",8.7,30.2,32.5,28.6,NA,NA
"4210","IA","Boone",5.7,32.3,37.2,24.8,5,9
"4211","IA","Boone",5.7,32.3,37.2,24.8,17,7
"4212","IA","Boone",5.7,32.3,37.2,24.8,18,11
"4213","IA","Boone",5.7,32.3,37.2,24.8,19,15
"4214","IA","Boone",5.7,32.3,37.2,24.8,21,15
"4215","IA","Boone",5.7,32.3,37.2,24.8,29,19
"4216","IA","Boone",5.7,32.3,37.2,24.8,31,11
"4217","IA","Boone",5.7,32.3,37.2,24.8,54,5
"4218","IA","Bremer",3.8,32.3,33.5,30.3,19,17
"4219","IA","Buchanan",5.9,38.9,34.6,20.6,19,19
"4220","IA","Buchanan",5.9,38.9,34.6,20.6,29,21
"4221","IA","Buchanan",5.9,38.9,34.6,20.6,51,27
"4222","IA","Buena Vista",22.2,29.5,28.7,19.6,NA,NA
"4223","IA","Butler",7.3,37.8,37.4,17.5,1,13
"4224","IA","Butler",7.3,37.8,37.4,17.5,19,23
"4225","IA","Butler",7.3,37.8,37.4,17.5,20,15
"4226","IA","Butler",7.3,37.8,37.4,17.5,21,31
"4227","IA","Butler",7.3,37.8,37.4,17.5,29,23
"4228","IA","Butler",7.3,37.8,37.4,17.5,31,23
"4229","IA","Butler",7.3,37.8,37.4,17.5,39,17
"4230","IA","Butler",7.3,37.8,37.4,17.5,42,19
"4231","IA","Calhoun",6,36.4,38.1,19.5,1,15
"4232","IA","Calhoun",6,36.4,38.1,19.5,5,13
"4233","IA","Calhoun",6,36.4,38.1,19.5,12,13
"4234","IA","Calhoun",6,36.4,38.1,19.5,13,37
"4235","IA","Calhoun",6,36.4,38.1,19.5,17,13
"4236","IA","Calhoun",6,36.4,38.1,19.5,19,25
"4237","IA","Calhoun",6,36.4,38.1,19.5,26,25
"4238","IA","Calhoun",6,36.4,38.1,19.5,28,13
"4239","IA","Calhoun",6,36.4,38.1,19.5,45,17
"4240","IA","Calhoun",6,36.4,38.1,19.5,48,57
"4241","IA","Calhoun",6,36.4,38.1,19.5,54,13
"4242","IA","Carroll",6.5,36.3,35,22.2,5,15
"4243","IA","Carroll",6.5,36.3,35,22.2,13,45
"4244","IA","Carroll",6.5,36.3,35,22.2,17,15
"4245","IA","Carroll",6.5,36.3,35,22.2,18,15
"4246","IA","Carroll",6.5,36.3,35,22.2,19,27
"4247","IA","Carroll",6.5,36.3,35,22.2,21,41
"4248","IA","Carroll",6.5,36.3,35,22.2,24,13
"4249","IA","Carroll",6.5,36.3,35,22.2,28,15
"4250","IA","Carroll",6.5,36.3,35,22.2,29,33
"4251","IA","Carroll",6.5,36.3,35,22.2,33,3
"4252","IA","Carroll",6.5,36.3,35,22.2,39,19
"4253","IA","Carroll",6.5,36.3,35,22.2,47,17
"4254","IA","Carroll",6.5,36.3,35,22.2,51,35
"4255","IA","Cass",11.8,37.9,30.7,19.6,17,17
"4256","IA","Cass",11.8,37.9,30.7,19.6,18,17
"4257","IA","Cass",11.8,37.9,30.7,19.6,19,29
"4258","IA","Cass",11.8,37.9,30.7,19.6,26,27
"4259","IA","Cass",11.8,37.9,30.7,19.6,27,21
"4260","IA","Cass",11.8,37.9,30.7,19.6,29,37
"4261","IA","Cass",11.8,37.9,30.7,19.6,31,25
"4262","IA","Cass",11.8,37.9,30.7,19.6,38,17
"4263","IA","Cass",11.8,37.9,30.7,19.6,48,67
"4264","IA","Cedar",5.1,35.9,36,23,19,31
"4265","IA","Cedar",5.1,35.9,36,23,29,39
"4266","IA","Cedar",5.1,35.9,36,23,31,27
"4267","IA","Cerro Gordo",6.9,30.8,39.6,22.7,NA,NA
"4268","IA","Cherokee",7.4,35.9,35.2,21.4,1,19
"4269","IA","Cherokee",7.4,35.9,35.2,21.4,13,57
"4270","IA","Cherokee",7.4,35.9,35.2,21.4,19,35
"4271","IA","Cherokee",7.4,35.9,35.2,21.4,20,21
"4272","IA","Cherokee",7.4,35.9,35.2,21.4,37,39
"4273","IA","Cherokee",7.4,35.9,35.2,21.4,40,21
"4274","IA","Cherokee",7.4,35.9,35.2,21.4,45,21
"4275","IA","Cherokee",7.4,35.9,35.2,21.4,48,73
"4276","IA","Chickasaw",7.7,43.5,31.8,16.9,19,37
"4277","IA","Chickasaw",7.7,43.5,31.8,16.9,28,17
"4278","IA","Clarke",10.9,41.4,30.8,16.9,1,25
"4279","IA","Clarke",10.9,41.4,30.8,16.9,13,59
"4280","IA","Clarke",10.9,41.4,30.8,16.9,19,39
"4281","IA","Clarke",10.9,41.4,30.8,16.9,28,23
"4282","IA","Clarke",10.9,41.4,30.8,16.9,51,43
"4283","IA","Clay",6.5,34.1,36.8,22.6,1,27
"4284","IA","Clay",6.5,34.1,36.8,22.6,5,21
"4285","IA","Clay",6.5,34.1,36.8,22.6,12,19
"4286","IA","Clay",6.5,34.1,36.8,22.6,13,61
"4287","IA","Clay",6.5,34.1,36.8,22.6,17,25
"4288","IA","Clay",6.5,34.1,36.8,22.6,18,21
"4289","IA","Clay",6.5,34.1,36.8,22.6,19,41
"4290","IA","Clay",6.5,34.1,36.8,22.6,20,27
"4291","IA","Clay",6.5,34.1,36.8,22.6,21,51
"4292","IA","Clay",6.5,34.1,36.8,22.6,27,27
"4293","IA","Clay",6.5,34.1,36.8,22.6,28,25
"4294","IA","Clay",6.5,34.1,36.8,22.6,29,47
"4295","IA","Clay",6.5,34.1,36.8,22.6,31,35
"4296","IA","Clay",6.5,34.1,36.8,22.6,37,43
"4297","IA","Clay",6.5,34.1,36.8,22.6,46,27
"4298","IA","Clay",6.5,34.1,36.8,22.6,47,27
"4299","IA","Clay",6.5,34.1,36.8,22.6,48,77
"4300","IA","Clay",6.5,34.1,36.8,22.6,54,15
"4301","IA","Clayton",8.8,43.6,30.5,17.2,13,63
"4302","IA","Clayton",8.8,43.6,30.5,17.2,19,43
"4303","IA","Clinton",8.9,37.2,34.8,19.1,17,27
"4304","IA","Clinton",8.9,37.2,34.8,19.1,18,23
"4305","IA","Clinton",8.9,37.2,34.8,19.1,19,45
"4306","IA","Clinton",8.9,37.2,34.8,19.1,21,53
"4307","IA","Clinton",8.9,37.2,34.8,19.1,26,37
"4308","IA","Clinton",8.9,37.2,34.8,19.1,29,49
"4309","IA","Clinton",8.9,37.2,34.8,19.1,36,19
"4310","IA","Clinton",8.9,37.2,34.8,19.1,39,27
"4311","IA","Clinton",8.9,37.2,34.8,19.1,42,35
"4312","IA","Crawford",22.2,36,29,12.8,5,33
"4313","IA","Crawford",22.2,36,29,12.8,13,79
"4314","IA","Crawford",22.2,36,29,12.8,17,33
"4315","IA","Crawford",22.2,36,29,12.8,18,25
"4316","IA","Crawford",22.2,36,29,12.8,19,47
"4317","IA","Crawford",22.2,36,29,12.8,20,37
"4318","IA","Crawford",22.2,36,29,12.8,26,39
"4319","IA","Crawford",22.2,36,29,12.8,29,55
"4320","IA","Crawford",22.2,36,29,12.8,39,33
"4321","IA","Crawford",22.2,36,29,12.8,42,39
"4322","IA","Crawford",22.2,36,29,12.8,55,23
"4323","IA","Dallas",4.7,18,28,49.4,1,47
"4324","IA","Dallas",4.7,18,28,49.4,5,39
"4325","IA","Dallas",4.7,18,28,49.4,19,49
"4326","IA","Dallas",4.7,18,28,49.4,29,59
"4327","IA","Dallas",4.7,18,28,49.4,48,113
"4328","IA","Davis",16.8,33.8,28.9,20.5,19,51
"4329","IA","Davis",16.8,33.8,28.9,20.5,49,11
"4330","IA","Decatur",11.3,37.6,27.6,23.5,13,87
"4331","IA","Decatur",11.3,37.6,27.6,23.5,18,31
"4332","IA","Decatur",11.3,37.6,27.6,23.5,19,53
"4333","IA","Decatur",11.3,37.6,27.6,23.5,20,39
"4334","IA","Decatur",11.3,37.6,27.6,23.5,47,39
"4335","IA","Delaware",8.7,43.1,31.6,16.6,18,35
"4336","IA","Delaware",8.7,43.1,31.6,16.6,19,55
"4337","IA","Delaware",8.7,43.1,31.6,16.6,36,25
"4338","IA","Delaware",8.7,43.1,31.6,16.6,39,41
"4339","IA","Delaware",8.7,43.1,31.6,16.6,40,41
"4340","IA","Delaware",8.7,43.1,31.6,16.6,42,45
"4341","IA","Des Moines",8.4,32.8,38.2,20.5,NA,NA
"4342","IA","Dickinson",4.2,28.1,36.4,31.3,19,59
"4343","IA","Dickinson",4.2,28.1,36.4,31.3,20,41
"4344","IA","Dickinson",4.2,28.1,36.4,31.3,26,43
"4345","IA","Dubuque",7.6,33,29,30.5,19,61
"4346","IA","Emmet",9.5,33.3,37,20.2,19,63
"4347","IA","Emmet",9.5,33.3,37,20.2,26,47
"4348","IA","Fayette",7.9,38.9,33.4,19.8,1,57
"4349","IA","Fayette",7.9,38.9,33.4,19.8,13,113
"4350","IA","Fayette",7.9,38.9,33.4,19.8,17,51
"4351","IA","Fayette",7.9,38.9,33.4,19.8,18,41
"4352","IA","Fayette",7.9,38.9,33.4,19.8,19,65
"4353","IA","Fayette",7.9,38.9,33.4,19.8,21,67
"4354","IA","Fayette",7.9,38.9,33.4,19.8,39,47
"4355","IA","Fayette",7.9,38.9,33.4,19.8,42,51
"4356","IA","Fayette",7.9,38.9,33.4,19.8,47,47
"4357","IA","Fayette",7.9,38.9,33.4,19.8,48,149
"4358","IA","Fayette",7.9,38.9,33.4,19.8,54,19
"4359","IA","Floyd",10.7,34,35.3,19.9,13,115
"4360","IA","Floyd",10.7,34,35.3,19.9,18,43
"4361","IA","Floyd",10.7,34,35.3,19.9,19,67
"4362","IA","Floyd",10.7,34,35.3,19.9,21,71
"4363","IA","Floyd",10.7,34,35.3,19.9,48,153
"4364","IA","Floyd",10.7,34,35.3,19.9,51,63
"4365","IA","Franklin",9.4,36,36.9,17.7,1,59
"4366","IA","Franklin",9.4,36,36.9,17.7,5,47
"4367","IA","Franklin",9.4,36,36.9,17.7,12,37
"4368","IA","Franklin",9.4,36,36.9,17.7,13,119
"4369","IA","Franklin",9.4,36,36.9,17.7,16,41
"4370","IA","Franklin",9.4,36,36.9,17.7,17,55
"4371","IA","Franklin",9.4,36,36.9,17.7,18,47
"4372","IA","Franklin",9.4,36,36.9,17.7,19,69
"4373","IA","Franklin",9.4,36,36.9,17.7,20,59
"4374","IA","Franklin",9.4,36,36.9,17.7,21,73
"4375","IA","Franklin",9.4,36,36.9,17.7,22,41
"4376","IA","Franklin",9.4,36,36.9,17.7,23,7
"4377","IA","Franklin",9.4,36,36.9,17.7,25,11
"4378","IA","Franklin",9.4,36,36.9,17.7,28,37
"4379","IA","Franklin",9.4,36,36.9,17.7,29,71
"4380","IA","Franklin",9.4,36,36.9,17.7,31,61
"4381","IA","Franklin",9.4,36,36.9,17.7,36,33
"4382","IA","Franklin",9.4,36,36.9,17.7,37,69
"4383","IA","Franklin",9.4,36,36.9,17.7,39,49
"4384","IA","Franklin",9.4,36,36.9,17.7,42,55
"4385","IA","Franklin",9.4,36,36.9,17.7,47,51
"4386","IA","Franklin",9.4,36,36.9,17.7,48,159
"4387","IA","Franklin",9.4,36,36.9,17.7,50,11
"4388","IA","Franklin",9.4,36,36.9,17.7,51,67
"4389","IA","Franklin",9.4,36,36.9,17.7,51,620
"4390","IA","Franklin",9.4,36,36.9,17.7,53,21
"4391","IA","Fremont",7.5,35.9,37.3,19.3,8,43
"4392","IA","Fremont",7.5,35.9,37.3,19.3,16,43
"4393","IA","Fremont",7.5,35.9,37.3,19.3,19,71
"4394","IA","Fremont",7.5,35.9,37.3,19.3,56,13
"4395","IA","Greene",6.3,39.5,34,20.1,1,63
"4396","IA","Greene",6.3,39.5,34,20.1,5,55
"4397","IA","Greene",6.3,39.5,34,20.1,13,133
"4398","IA","Greene",6.3,39.5,34,20.1,17,61
"4399","IA","Greene",6.3,39.5,34,20.1,18,55
"4400","IA","Greene",6.3,39.5,34,20.1,19,73
"4401","IA","Greene",6.3,39.5,34,20.1,28,41
"4402","IA","Greene",6.3,39.5,34,20.1,29,77
"4403","IA","Greene",6.3,39.5,34,20.1,36,39
"4404","IA","Greene",6.3,39.5,34,20.1,37,79
"4405","IA","Greene",6.3,39.5,34,20.1,39,57
"4406","IA","Greene",6.3,39.5,34,20.1,42,59
"4407","IA","Greene",6.3,39.5,34,20.1,47,59
"4408","IA","Greene",6.3,39.5,34,20.1,51,79
"4409","IA","Grundy",5.8,30.8,35.3,28,17,63
"4410","IA","Grundy",5.8,30.8,35.3,28,19,75
"4411","IA","Grundy",5.8,30.8,35.3,28,29,79
"4412","IA","Grundy",5.8,30.8,35.3,28,47,61
"4413","IA","Guthrie",7.2,38.6,34.5,19.8,19,77
"4414","IA","Hamilton",6.5,31.4,37.8,24.3,12,47
"4415","IA","Hamilton",6.5,31.4,37.8,24.3,17,65
"4416","IA","Hamilton",6.5,31.4,37.8,24.3,18,57
"4417","IA","Hamilton",6.5,31.4,37.8,24.3,19,79
"4418","IA","Hamilton",6.5,31.4,37.8,24.3,20,75
"4419","IA","Hamilton",6.5,31.4,37.8,24.3,31,81
"4420","IA","Hamilton",6.5,31.4,37.8,24.3,36,41
"4421","IA","Hamilton",6.5,31.4,37.8,24.3,39,61
"4422","IA","Hamilton",6.5,31.4,37.8,24.3,47,65
"4423","IA","Hamilton",6.5,31.4,37.8,24.3,48,193
"4424","IA","Hancock",6.6,36.5,33.8,23.1,13,141
"4425","IA","Hancock",6.6,36.5,33.8,23.1,17,67
"4426","IA","Hancock",6.6,36.5,33.8,23.1,18,59
"4427","IA","Hancock",6.6,36.5,33.8,23.1,19,81
"4428","IA","Hancock",6.6,36.5,33.8,23.1,21,91
"4429","IA","Hancock",6.6,36.5,33.8,23.1,23,9
"4430","IA","Hancock",6.6,36.5,33.8,23.1,28,45
"4431","IA","Hancock",6.6,36.5,33.8,23.1,39,63
"4432","IA","Hancock",6.6,36.5,33.8,23.1,47,67
"4433","IA","Hancock",6.6,36.5,33.8,23.1,54,29
"4434","IA","Hardin",8.4,34.4,37.5,19.8,17,69
"4435","IA","Hardin",8.4,34.4,37.5,19.8,19,83
"4436","IA","Hardin",8.4,34.4,37.5,19.8,21,93
"4437","IA","Hardin",8.4,34.4,37.5,19.8,39,65
"4438","IA","Hardin",8.4,34.4,37.5,19.8,47,71
"4439","IA","Hardin",8.4,34.4,37.5,19.8,48,199
"4440","IA","Harrison",8.2,38,35,18.8,18,61
"4441","IA","Harrison",8.2,38,35,18.8,19,85
"4442","IA","Harrison",8.2,38,35,18.8,21,97
"4443","IA","Harrison",8.2,38,35,18.8,28,47
"4444","IA","Harrison",8.2,38,35,18.8,29,81
"4445","IA","Harrison",8.2,38,35,18.8,39,67
"4446","IA","Harrison",8.2,38,35,18.8,48,203
"4447","IA","Harrison",8.2,38,35,18.8,54,33
"4448","IA","Henry",7.1,37.7,35.2,20.1,1,67
"4449","IA","Henry",7.1,37.7,35.2,20.1,13,151
"4450","IA","Henry",7.1,37.7,35.2,20.1,17,73
"4451","IA","Henry",7.1,37.7,35.2,20.1,18,65
"4452","IA","Henry",7.1,37.7,35.2,20.1,19,87
"4453","IA","Henry",7.1,37.7,35.2,20.1,21,103
"4454","IA","Henry",7.1,37.7,35.2,20.1,29,83
"4455","IA","Henry",7.1,37.7,35.2,20.1,39,69
"4456","IA","Henry",7.1,37.7,35.2,20.1,47,79
"4457","IA","Henry",7.1,37.7,35.2,20.1,51,89
"4458","IA","Howard",9.7,40.8,34.6,14.9,5,61
"4459","IA","Howard",9.7,40.8,34.6,14.9,18,67
"4460","IA","Howard",9.7,40.8,34.6,14.9,19,89
"4461","IA","Howard",9.7,40.8,34.6,14.9,24,27
"4462","IA","Howard",9.7,40.8,34.6,14.9,29,89
"4463","IA","Howard",9.7,40.8,34.6,14.9,31,93
"4464","IA","Howard",9.7,40.8,34.6,14.9,48,227
"4465","IA","Humboldt",7.8,35.9,35.4,20.8,6,23
"4466","IA","Humboldt",7.8,35.9,35.4,20.8,19,91
"4467","IA","Humboldt",7.8,35.9,35.4,20.8,32,13
"4468","IA","Ida",6.5,38.3,36.2,19,19,93
"4469","IA","Iowa",6.2,37.7,37,19.1,19,95
"4470","IA","Iowa",6.2,37.7,37,19.1,55,49
"4471","IA","Jackson",7.7,41.9,31.6,18.8,1,71
"4472","IA","Jackson",7.7,41.9,31.6,18.8,5,67
"4473","IA","Jackson",7.7,41.9,31.6,18.8,8,57
"4474","IA","Jackson",7.7,41.9,31.6,18.8,12,63
"4475","IA","Jackson",7.7,41.9,31.6,18.8,13,157
"4476","IA","Jackson",7.7,41.9,31.6,18.8,17,77
"4477","IA","Jackson",7.7,41.9,31.6,18.8,18,71
"4478","IA","Jackson",7.7,41.9,31.6,18.8,19,97
"4479","IA","Jackson",7.7,41.9,31.6,18.8,20,85
"4480","IA","Jackson",7.7,41.9,31.6,18.8,21,109
"4481","IA","Jackson",7.7,41.9,31.6,18.8,22,49
"4482","IA","Jackson",7.7,41.9,31.6,18.8,26,75
"4483","IA","Jackson",7.7,41.9,31.6,18.8,27,63
"4484","IA","Jackson",7.7,41.9,31.6,18.8,28,59
"4485","IA","Jackson",7.7,41.9,31.6,18.8,29,95
"4486","IA","Jackson",7.7,41.9,31.6,18.8,37,99
"4487","IA","Jackson",7.7,41.9,31.6,18.8,39,79
"4488","IA","Jackson",7.7,41.9,31.6,18.8,40,65
"4489","IA","Jackson",7.7,41.9,31.6,18.8,41,29
"4490","IA","Jackson",7.7,41.9,31.6,18.8,46,71
"4491","IA","Jackson",7.7,41.9,31.6,18.8,47,87
"4492","IA","Jackson",7.7,41.9,31.6,18.8,48,239
"4493","IA","Jackson",7.7,41.9,31.6,18.8,54,35
"4494","IA","Jackson",7.7,41.9,31.6,18.8,55,53
"4495","IA","Jasper",6.3,42.4,33.5,17.9,13,159
"4496","IA","Jasper",6.3,42.4,33.5,17.9,17,79
"4497","IA","Jasper",6.3,42.4,33.5,17.9,18,73
"4498","IA","Jasper",6.3,42.4,33.5,17.9,19,99
"4499","IA","Jasper",6.3,42.4,33.5,17.9,28,61
"4500","IA","Jasper",6.3,42.4,33.5,17.9,29,97
"4501","IA","Jasper",6.3,42.4,33.5,17.9,45,53
"4502","IA","Jasper",6.3,42.4,33.5,17.9,48,241
"4503","IA","Jefferson",7.3,27.7,33.4,31.6,1,73
"4504","IA","Jefferson",7.3,27.7,33.4,31.6,5,69
"4505","IA","Jefferson",7.3,27.7,33.4,31.6,8,59
"4506","IA","Jefferson",7.3,27.7,33.4,31.6,12,65
"4507","IA","Jefferson",7.3,27.7,33.4,31.6,13,163
"4508","IA","Jefferson",7.3,27.7,33.4,31.6,16,51
"4509","IA","Jefferson",7.3,27.7,33.4,31.6,17,81
"4510","IA","Jefferson",7.3,27.7,33.4,31.6,18,77
"4511","IA","Jefferson",7.3,27.7,33.4,31.6,19,101
"4512","IA","Jefferson",7.3,27.7,33.4,31.6,20,87
"4513","IA","Jefferson",7.3,27.7,33.4,31.6,21,111
"4514","IA","Jefferson",7.3,27.7,33.4,31.6,22,51
"4515","IA","Jefferson",7.3,27.7,33.4,31.6,22,53
"4516","IA","Jefferson",7.3,27.7,33.4,31.6,28,63
"4517","IA","Jefferson",7.3,27.7,33.4,31.6,28,65
"4518","IA","Jefferson",7.3,27.7,33.4,31.6,29,99
"4519","IA","Jefferson",7.3,27.7,33.4,31.6,30,43
"4520","IA","Jefferson",7.3,27.7,33.4,31.6,31,95
"4521","IA","Jefferson",7.3,27.7,33.4,31.6,36,45
"4522","IA","Jefferson",7.3,27.7,33.4,31.6,39,81
"4523","IA","Jefferson",7.3,27.7,33.4,31.6,40,67
"4524","IA","Jefferson",7.3,27.7,33.4,31.6,41,31
"4525","IA","Jefferson",7.3,27.7,33.4,31.6,42,65
"4526","IA","Jefferson",7.3,27.7,33.4,31.6,47,89
"4527","IA","Jefferson",7.3,27.7,33.4,31.6,48,245
"4528","IA","Jefferson",7.3,27.7,33.4,31.6,53,31
"4529","IA","Jefferson",7.3,27.7,33.4,31.6,54,37
"4530","IA","Jefferson",7.3,27.7,33.4,31.6,55,55
"4531","IA","Johnson",4.7,16.2,26.1,53,5,71
"4532","IA","Johnson",4.7,16.2,26.1,53,13,167
"4533","IA","Johnson",4.7,16.2,26.1,53,17,87
