"","county","State","estimate_percent_distribution_family_income_by_number_of_earners_no_earners","margin_of_error_percent_distribution_moe_family_income_by_number_of_earners_no_earners","estimate_median_income_dollars_family_income_by_number_of_earners_no_earners","margin_of_error_median_income_dollars_moe_family_income_by_number_of_earners_no_earners","state_fips_code","county_fips_code"
"2256","Monroe"," Georgia",19.1,3.2,"28373","4972",1,99
"2257","Monroe"," Georgia",19.1,3.2,"28373","4972",5,95
"2258","Monroe"," Georgia",19.1,3.2,"28373","4972",12,87
"2259","Monroe"," Georgia",19.1,3.2,"28373","4972",13,207
"2260","Monroe"," Georgia",19.1,3.2,"28373","4972",17,133
"2261","Monroe"," Georgia",19.1,3.2,"28373","4972",18,105
"2262","Monroe"," Georgia",19.1,3.2,"28373","4972",19,135
"2263","Monroe"," Georgia",19.1,3.2,"28373","4972",21,171
"2264","Monroe"," Georgia",19.1,3.2,"28373","4972",26,115
"2265","Monroe"," Georgia",19.1,3.2,"28373","4972",28,95
"2266","Monroe"," Georgia",19.1,3.2,"28373","4972",29,137
"2267","Monroe"," Georgia",19.1,3.2,"28373","4972",36,55
"2268","Monroe"," Georgia",19.1,3.2,"28373","4972",39,111
"2269","Monroe"," Georgia",19.1,3.2,"28373","4972",42,89
"2270","Monroe"," Georgia",19.1,3.2,"28373","4972",47,123
"2271","Monroe"," Georgia",19.1,3.2,"28373","4972",54,63
"2272","Monroe"," Georgia",19.1,3.2,"28373","4972",55,81
"2273","Montgomery"," Georgia",16.9,3.7,"19274","6202",1,101
"2274","Montgomery"," Georgia",16.9,3.7,"19274","6202",5,97
"2275","Montgomery"," Georgia",16.9,3.7,"19274","6202",13,209
"2276","Montgomery"," Georgia",16.9,3.7,"19274","6202",17,135
"2277","Montgomery"," Georgia",16.9,3.7,"19274","6202",18,107
"2278","Montgomery"," Georgia",16.9,3.7,"19274","6202",19,137
"2279","Montgomery"," Georgia",16.9,3.7,"19274","6202",20,125
"2280","Montgomery"," Georgia",16.9,3.7,"19274","6202",21,173
"2281","Montgomery"," Georgia",16.9,3.7,"19274","6202",24,31
"2282","Montgomery"," Georgia",16.9,3.7,"19274","6202",28,97
"2283","Montgomery"," Georgia",16.9,3.7,"19274","6202",29,139
"2284","Montgomery"," Georgia",16.9,3.7,"19274","6202",36,57
"2285","Montgomery"," Georgia",16.9,3.7,"19274","6202",37,123
"2286","Montgomery"," Georgia",16.9,3.7,"19274","6202",39,113
"2287","Montgomery"," Georgia",16.9,3.7,"19274","6202",42,91
"2288","Montgomery"," Georgia",16.9,3.7,"19274","6202",47,125
"2289","Montgomery"," Georgia",16.9,3.7,"19274","6202",48,339
"2290","Montgomery"," Georgia",16.9,3.7,"19274","6202",51,121
"2291","Morgan"," Georgia",19.4,3.2,"37258","5641",1,103
"2292","Morgan"," Georgia",19.4,3.2,"37258","5641",8,87
"2293","Morgan"," Georgia",19.4,3.2,"37258","5641",13,211
"2294","Morgan"," Georgia",19.4,3.2,"37258","5641",17,137
"2295","Morgan"," Georgia",19.4,3.2,"37258","5641",18,109
"2296","Morgan"," Georgia",19.4,3.2,"37258","5641",21,175
"2297","Morgan"," Georgia",19.4,3.2,"37258","5641",29,141
"2298","Morgan"," Georgia",19.4,3.2,"37258","5641",39,115
"2299","Morgan"," Georgia",19.4,3.2,"37258","5641",47,129
"2300","Morgan"," Georgia",19.4,3.2,"37258","5641",49,29
"2301","Morgan"," Georgia",19.4,3.2,"37258","5641",54,65
"2302","Murray"," Georgia",16.2,2.3,"28039","1855",13,213
"2303","Murray"," Georgia",16.2,2.3,"28039","1855",27,101
"2304","Murray"," Georgia",16.2,2.3,"28039","1855",40,99
"2305","Muscogee"," Georgia",16.3,1.1,"27240","3770",13,215
"2306","Newton"," Georgia",15.6,1.6,"33750","5807",5,101
"2307","Newton"," Georgia",15.6,1.6,"33750","5807",13,217
"2308","Newton"," Georgia",15.6,1.6,"33750","5807",18,111
"2309","Newton"," Georgia",15.6,1.6,"33750","5807",28,101
"2310","Newton"," Georgia",15.6,1.6,"33750","5807",29,145
"2311","Newton"," Georgia",15.6,1.6,"33750","5807",48,351
"2312","Oconee"," Georgia",10.1,1.4,"53617","11834",13,219
"2313","Oconee"," Georgia",10.1,1.4,"53617","11834",45,73
"2314","Oglethorpe"," Georgia",17,3.3,"30125","8432",13,221
"2315","Paulding"," Georgia",10.5,1.1,"32920","4133",13,223
"2316","Paulding"," Georgia",10.5,1.1,"32920","4133",39,125
"2317","Peach"," Georgia",16.8,2.8,"35057","15252",13,225
"2318","Pickens"," Georgia",18.9,2.9,"46979","12940",1,107
"2319","Pickens"," Georgia",18.9,2.9,"46979","12940",13,227
"2320","Pickens"," Georgia",18.9,2.9,"46979","12940",45,77
"2321","Pierce"," Georgia",22.4,4.1,"28737","3379",13,229
"2322","Pierce"," Georgia",22.4,4.1,"28737","3379",31,139
"2323","Pierce"," Georgia",22.4,4.1,"28737","3379",38,69
"2324","Pierce"," Georgia",22.4,4.1,"28737","3379",53,53
"2325","Pierce"," Georgia",22.4,4.1,"28737","3379",55,93
"2326","Pike"," Georgia",13.1,2.7,"36250","11061",1,109
"2327","Pike"," Georgia",13.1,2.7,"36250","11061",5,109
"2328","Pike"," Georgia",13.1,2.7,"36250","11061",13,231
"2329","Pike"," Georgia",13.1,2.7,"36250","11061",17,149
"2330","Pike"," Georgia",13.1,2.7,"36250","11061",18,125
"2331","Pike"," Georgia",13.1,2.7,"36250","11061",21,195
"2332","Pike"," Georgia",13.1,2.7,"36250","11061",28,113
"2333","Pike"," Georgia",13.1,2.7,"36250","11061",29,163
"2334","Pike"," Georgia",13.1,2.7,"36250","11061",39,131
"2335","Pike"," Georgia",13.1,2.7,"36250","11061",42,103
"2336","Polk"," Georgia",16.6,2,"34602","5389",5,113
"2337","Polk"," Georgia",16.6,2,"34602","5389",12,105
"2338","Polk"," Georgia",16.6,2,"34602","5389",13,233
"2339","Polk"," Georgia",16.6,2,"34602","5389",19,153
"2340","Polk"," Georgia",16.6,2,"34602","5389",27,119
"2341","Polk"," Georgia",16.6,2,"34602","5389",29,167
"2342","Polk"," Georgia",16.6,2,"34602","5389",31,143
"2343","Polk"," Georgia",16.6,2,"34602","5389",37,149
"2344","Polk"," Georgia",16.6,2,"34602","5389",41,53
"2345","Polk"," Georgia",16.6,2,"34602","5389",47,139
"2346","Polk"," Georgia",16.6,2,"34602","5389",48,373
"2347","Polk"," Georgia",16.6,2,"34602","5389",55,95
"2348","Pulaski"," Georgia",21.7,4.6,"36932","10799",5,119
"2349","Pulaski"," Georgia",21.7,4.6,"36932","10799",13,235
"2350","Pulaski"," Georgia",21.7,4.6,"36932","10799",17,153
"2351","Pulaski"," Georgia",21.7,4.6,"36932","10799",18,131
"2352","Pulaski"," Georgia",21.7,4.6,"36932","10799",21,199
"2353","Pulaski"," Georgia",21.7,4.6,"36932","10799",29,169
"2354","Pulaski"," Georgia",21.7,4.6,"36932","10799",51,155
"2355","Putnam"," Georgia",26.1,3.6,"53011","9604",12,107
"2356","Putnam"," Georgia",26.1,3.6,"53011","9604",13,237
"2357","Putnam"," Georgia",26.1,3.6,"53011","9604",17,155
"2358","Putnam"," Georgia",26.1,3.6,"53011","9604",18,133
"2359","Putnam"," Georgia",26.1,3.6,"53011","9604",29,171
"2360","Putnam"," Georgia",26.1,3.6,"53011","9604",36,79
"2361","Putnam"," Georgia",26.1,3.6,"53011","9604",39,137
"2362","Putnam"," Georgia",26.1,3.6,"53011","9604",47,141
"2363","Putnam"," Georgia",26.1,3.6,"53011","9604",54,79
"2364","Quitman"," Georgia",29.9,8.5,"23750","5753",13,239
"2365","Quitman"," Georgia",29.9,8.5,"23750","5753",28,119
"2366","Rabun"," Georgia",32.1,4.2,"41359","6240",13,241
"2367","Randolph"," Georgia",28.3,6.7,"23700","12150",1,111
"2368","Randolph"," Georgia",28.3,6.7,"23700","12150",5,121
"2369","Randolph"," Georgia",28.3,6.7,"23700","12150",13,243
"2370","Randolph"," Georgia",28.3,6.7,"23700","12150",17,157
"2371","Randolph"," Georgia",28.3,6.7,"23700","12150",18,135
"2372","Randolph"," Georgia",28.3,6.7,"23700","12150",29,175
"2373","Randolph"," Georgia",28.3,6.7,"23700","12150",37,151
"2374","Randolph"," Georgia",28.3,6.7,"23700","12150",54,83
"2375","Richmond"," Georgia",17.3,1.3,"27064","2828",13,245
"2376","Richmond"," Georgia",17.3,1.3,"27064","2828",36,85
"2377","Richmond"," Georgia",17.3,1.3,"27064","2828",37,153
"2378","Richmond"," Georgia",17.3,1.3,"27064","2828",51,159
"2379","Richmond"," Georgia",17.3,1.3,"27064","2828",51,760
"2380","Rockdale"," Georgia",14.6,1.3,"37500","8365",13,247
"2381","Schley"," Georgia",20.5,5,"20909","5423",13,249
"2382","Screven"," Georgia",22,3.6,"29560","5189",13,251
"2383","Seminole"," Georgia",33.9,5.4,"22538","7291",12,117
"2384","Seminole"," Georgia",33.9,5.4,"22538","7291",13,253
"2385","Seminole"," Georgia",33.9,5.4,"22538","7291",40,133
"2386","Spalding"," Georgia",22.8,2.5,"32558","4331",13,255
"2387","Stephens"," Georgia",21.1,4,"33254","6961",13,257
"2388","Stephens"," Georgia",21.1,4,"33254","6961",40,137
"2389","Stephens"," Georgia",21.1,4,"33254","6961",48,429
"2390","Stewart"," Georgia",23.9,6.3,"17853","8625",13,259
"2391","Stewart"," Georgia",23.9,6.3,"17853","8625",47,161
"2392","Sumter"," Georgia",20.8,2.7,"19239","4903",1,119
"2393","Sumter"," Georgia",20.8,2.7,"19239","4903",12,119
"2394","Sumter"," Georgia",20.8,2.7,"19239","4903",13,261
"2395","Sumter"," Georgia",20.8,2.7,"19239","4903",45,85
"2396","Talbot"," Georgia",30.7,4.1,"31992","2623",13,263
"2397","Talbot"," Georgia",30.7,4.1,"31992","2623",24,41
"2398","Taliaferro"," Georgia",29.6,6.5,"22946","3038",13,265
"2399","Tattnall"," Georgia",16.1,2.2,"36563","7973",13,267
"2400","Taylor"," Georgia",23.9,5.2,"21086","7872",12,123
"2401","Taylor"," Georgia",23.9,5.2,"21086","7872",13,269
"2402","Taylor"," Georgia",23.9,5.2,"21086","7872",19,173
"2403","Taylor"," Georgia",23.9,5.2,"21086","7872",21,217
"2404","Taylor"," Georgia",23.9,5.2,"21086","7872",48,441
"2405","Taylor"," Georgia",23.9,5.2,"21086","7872",54,91
"2406","Taylor"," Georgia",23.9,5.2,"21086","7872",55,119
"2407","Telfair"," Georgia",36.4,6.6,"21315","2717",13,271
"2408","Terrell"," Georgia",25.4,5.5,"15969","9375",13,273
"2409","Terrell"," Georgia",25.4,5.5,"15969","9375",48,443
"2410","Thomas"," Georgia",19.5,2.5,"30849","1417",13,275
"2411","Thomas"," Georgia",19.5,2.5,"30849","1417",20,193
"2412","Thomas"," Georgia",19.5,2.5,"30849","1417",31,171
"2413","Tift"," Georgia",14.5,2.1,"26250","7647",13,277
"2414","Toombs"," Georgia",17.1,3.2,"21037","5453",13,279
"2415","Towns"," Georgia",40.3,3.5,"47563","14158",13,281
"2416","Treutlen"," Georgia",27.1,5.9,"26905","4698",13,283
"2417","Troup"," Georgia",16.3,1.4,"33073","2487",13,285
"2418","Turner"," Georgia",24.3,6.6,"11837","2475",13,287
"2419","Turner"," Georgia",24.3,6.6,"11837","2475",46,125
"2420","Twiggs"," Georgia",29,5.3,"25114","7910",13,289
"2421","Union"," Georgia",36.3,3.8,"42542","4217",5,139
"2422","Union"," Georgia",36.3,3.8,"42542","4217",12,125
"2423","Union"," Georgia",36.3,3.8,"42542","4217",13,291
"2424","Union"," Georgia",36.3,3.8,"42542","4217",17,181
"2425","Union"," Georgia",36.3,3.8,"42542","4217",18,161
"2426","Union"," Georgia",36.3,3.8,"42542","4217",19,175
"2427","Union"," Georgia",36.3,3.8,"42542","4217",21,225
"2428","Union"," Georgia",36.3,3.8,"42542","4217",22,111
"2429","Union"," Georgia",36.3,3.8,"42542","4217",28,145
"2430","Union"," Georgia",36.3,3.8,"42542","4217",34,39
"2431","Union"," Georgia",36.3,3.8,"42542","4217",35,59
"2432","Union"," Georgia",36.3,3.8,"42542","4217",37,179
"2433","Union"," Georgia",36.3,3.8,"42542","4217",39,159
"2434","Union"," Georgia",36.3,3.8,"42542","4217",41,61
"2435","Union"," Georgia",36.3,3.8,"42542","4217",42,119
"2436","Union"," Georgia",36.3,3.8,"42542","4217",45,87
"2437","Union"," Georgia",36.3,3.8,"42542","4217",46,127
"2438","Union"," Georgia",36.3,3.8,"42542","4217",47,173
"2439","Upson"," Georgia",24.9,3.7,"22512","2744",13,293
"2440","Walker"," Georgia",18.6,1.8,"26654","2886",1,127
"2441","Walker"," Georgia",18.6,1.8,"26654","2886",13,295
"2442","Walker"," Georgia",18.6,1.8,"26654","2886",48,471
"2443","Walton"," Georgia",14.3,1.4,"39580","4738",12,131
"2444","Walton"," Georgia",14.3,1.4,"39580","4738",13,297
"2445","Ware"," Georgia",22.6,3.1,"26855","3609",13,299
"2446","Warren"," Georgia",22.2,5,"24446","2081",13,301
"2447","Warren"," Georgia",22.2,5,"24446","2081",17,187
"2448","Warren"," Georgia",22.2,5,"24446","2081",18,171
"2449","Warren"," Georgia",22.2,5,"24446","2081",19,181
"2450","Warren"," Georgia",22.2,5,"24446","2081",21,227
"2451","Warren"," Georgia",22.2,5,"24446","2081",28,149
"2452","Warren"," Georgia",22.2,5,"24446","2081",29,219
"2453","Warren"," Georgia",22.2,5,"24446","2081",34,41
"2454","Warren"," Georgia",22.2,5,"24446","2081",36,113
"2455","Warren"," Georgia",22.2,5,"24446","2081",37,185
"2456","Warren"," Georgia",22.2,5,"24446","2081",39,165
"2457","Warren"," Georgia",22.2,5,"24446","2081",42,123
"2458","Warren"," Georgia",22.2,5,"24446","2081",47,177
"2459","Warren"," Georgia",22.2,5,"24446","2081",51,187
"2460","Washington"," Georgia",19.1,2.6,"24647","5182",1,129
"2461","Washington"," Georgia",19.1,2.6,"24647","5182",5,143
"2462","Washington"," Georgia",19.1,2.6,"24647","5182",8,121
"2463","Washington"," Georgia",19.1,2.6,"24647","5182",12,133
"2464","Washington"," Georgia",19.1,2.6,"24647","5182",13,303
"2465","Washington"," Georgia",19.1,2.6,"24647","5182",16,87
"2466","Washington"," Georgia",19.1,2.6,"24647","5182",17,189
"2467","Washington"," Georgia",19.1,2.6,"24647","5182",18,175
"2468","Washington"," Georgia",19.1,2.6,"24647","5182",19,183
"2469","Washington"," Georgia",19.1,2.6,"24647","5182",20,201
"2470","Washington"," Georgia",19.1,2.6,"24647","5182",21,229
"2471","Washington"," Georgia",19.1,2.6,"24647","5182",22,117
"2472","Washington"," Georgia",19.1,2.6,"24647","5182",23,29
"2473","Washington"," Georgia",19.1,2.6,"24647","5182",24,43
"2474","Washington"," Georgia",19.1,2.6,"24647","5182",27,163
"2475","Washington"," Georgia",19.1,2.6,"24647","5182",28,151
"2476","Washington"," Georgia",19.1,2.6,"24647","5182",29,221
"2477","Washington"," Georgia",19.1,2.6,"24647","5182",31,177
"2478","Washington"," Georgia",19.1,2.6,"24647","5182",36,115
"2479","Washington"," Georgia",19.1,2.6,"24647","5182",37,187
"2480","Washington"," Georgia",19.1,2.6,"24647","5182",39,167
"2481","Washington"," Georgia",19.1,2.6,"24647","5182",40,147
"2482","Washington"," Georgia",19.1,2.6,"24647","5182",41,67
"2483","Washington"," Georgia",19.1,2.6,"24647","5182",42,125
"2484","Washington"," Georgia",19.1,2.6,"24647","5182",44,9
"2485","Washington"," Georgia",19.1,2.6,"24647","5182",47,179
"2486","Washington"," Georgia",19.1,2.6,"24647","5182",48,477
"2487","Washington"," Georgia",19.1,2.6,"24647","5182",49,53
"2488","Washington"," Georgia",19.1,2.6,"24647","5182",50,23
"2489","Washington"," Georgia",19.1,2.6,"24647","5182",51,191
"2490","Washington"," Georgia",19.1,2.6,"24647","5182",55,131
"2491","Wayne"," Georgia",20.6,2.5,"28555","7089",13,305
"2492","Wayne"," Georgia",20.6,2.5,"28555","7089",17,191
"2493","Wayne"," Georgia",20.6,2.5,"28555","7089",18,177
"2494","Wayne"," Georgia",20.6,2.5,"28555","7089",19,185
"2495","Wayne"," Georgia",20.6,2.5,"28555","7089",21,231
"2496","Wayne"," Georgia",20.6,2.5,"28555","7089",26,163
"2497","Wayne"," Georgia",20.6,2.5,"28555","7089",28,153
"2498","Wayne"," Georgia",20.6,2.5,"28555","7089",29,223
"2499","Wayne"," Georgia",20.6,2.5,"28555","7089",31,179
"2500","Wayne"," Georgia",20.6,2.5,"28555","7089",36,117
"2501","Wayne"," Georgia",20.6,2.5,"28555","7089",37,191
"2502","Wayne"," Georgia",20.6,2.5,"28555","7089",39,169
"2503","Wayne"," Georgia",20.6,2.5,"28555","7089",42,127
"2504","Wayne"," Georgia",20.6,2.5,"28555","7089",47,181
"2505","Wayne"," Georgia",20.6,2.5,"28555","7089",49,55
"2506","Wayne"," Georgia",20.6,2.5,"28555","7089",54,99
"2507","Webster"," Georgia",20.4,8.3,"22019","13970",13,307
"2508","Webster"," Georgia",20.4,8.3,"22019","13970",19,187
"2509","Webster"," Georgia",20.4,8.3,"22019","13970",21,233
"2510","Webster"," Georgia",20.4,8.3,"22019","13970",22,119
"2511","Webster"," Georgia",20.4,8.3,"22019","13970",28,155
"2512","Webster"," Georgia",20.4,8.3,"22019","13970",29,225
"2513","Webster"," Georgia",20.4,8.3,"22019","13970",31,181
"2514","Webster"," Georgia",20.4,8.3,"22019","13970",54,101
"2515","Wheeler"," Georgia",37.8,7.4,"21455","1698",13,309
"2516","Wheeler"," Georgia",37.8,7.4,"21455","1698",31,183
"2517","Wheeler"," Georgia",37.8,7.4,"21455","1698",41,69
"2518","Wheeler"," Georgia",37.8,7.4,"21455","1698",48,483
"2519","White"," Georgia",24.9,2.9,"41985","4914",5,145
"2520","White"," Georgia",24.9,2.9,"41985","4914",13,311
"2521","White"," Georgia",24.9,2.9,"41985","4914",17,193
"2522","White"," Georgia",24.9,2.9,"41985","4914",18,181
"2523","White"," Georgia",24.9,2.9,"41985","4914",32,33
"2524","White"," Georgia",24.9,2.9,"41985","4914",47,185
"2525","Whitfield"," Georgia",13.3,1.3,"28572","2698",13,313
"2526","Wilcox"," Georgia",27.7,4.4,"27653","2551",1,131
"2527","Wilcox"," Georgia",27.7,4.4,"27653","2551",13,315
"2528","Wilkes"," Georgia",23,3.6,"32196","8832",13,317
"2529","Wilkes"," Georgia",23,3.6,"32196","8832",37,193
"2530","Wilkinson"," Georgia",22.6,3.6,"25060","6999",13,319
"2531","Wilkinson"," Georgia",22.6,3.6,"25060","6999",28,157
"2532","Worth"," Georgia",19.4,3.1,"25375","4949",13,321
"2533","Worth"," Georgia",19.4,3.1,"25375","4949",19,195
"2534","Worth"," Georgia",19.4,3.1,"25375","4949",29,227
"2535","Hawaii"," Hawaii",20.8,1.2,"35703","2961",15,1
"2536","Honolulu"," Hawaii",10.8,0.4,"51183","2361",15,3
"2537","Kalawao"," Hawaii",25,29.2,"-","**",NA,NA
"2538","Kauai"," Hawaii",13.9,1.5,"47625","13706",15,7
"2539","Maui"," Hawaii",12.8,1,"44091","5117",15,9
"2540","Ada"," Idaho",13.4,0.7,"52284","3301",16,1
"2541","Adams"," Idaho",21.3,4.4,"39671","8871",8,1
"2542","Adams"," Idaho",21.3,4.4,"39671","8871",16,3
"2543","Adams"," Idaho",21.3,4.4,"39671","8871",17,1
"2544","Adams"," Idaho",21.3,4.4,"39671","8871",18,1
"2545","Adams"," Idaho",21.3,4.4,"39671","8871",19,3
"2546","Adams"," Idaho",21.3,4.4,"39671","8871",28,1
"2547","Adams"," Idaho",21.3,4.4,"39671","8871",31,1
"2548","Adams"," Idaho",21.3,4.4,"39671","8871",38,1
"2549","Adams"," Idaho",21.3,4.4,"39671","8871",39,1
"2550","Adams"," Idaho",21.3,4.4,"39671","8871",42,1
"2551","Adams"," Idaho",21.3,4.4,"39671","8871",53,1
"2552","Adams"," Idaho",21.3,4.4,"39671","8871",55,1
"2553","Bannock"," Idaho",14.4,1.2,"41486","3234",16,5
"2554","Bear Lake"," Idaho",19.1,3.3,"46618","7706",NA,NA
"2555","Benewah"," Idaho",20.4,3.6,"35938","6791",16,9
"2556","Bingham"," Idaho",14.7,1.7,"36987","8026",16,11
"2557","Blaine"," Idaho",13.2,3.3,"33090","12510",16,13
"2558","Blaine"," Idaho",13.2,3.3,"33090","12510",30,5
"2559","Blaine"," Idaho",13.2,3.3,"33090","12510",31,9
"2560","Blaine"," Idaho",13.2,3.3,"33090","12510",40,11
"2561","Boise"," Idaho",23.2,4,"51128","8785",16,15
"2562","Bonner"," Idaho",23,2.2,"48417","3869",16,17
"2563","Bonneville"," Idaho",12.8,1.1,"44059","6096",16,19
"2564","Boundary"," Idaho",21.8,4.9,"39943","9985",16,21
"2565","Butte"," Idaho",28.1,6.5,"34545","11379",6,7
"2566","Butte"," Idaho",28.1,6.5,"34545","11379",16,23
"2567","Butte"," Idaho",28.1,6.5,"34545","11379",46,19
"2568","Camas"," Idaho",17.4,10.2,"26442","2603",16,25
"2569","Canyon"," Idaho",14.2,1.1,"36974","2814",16,27
"2570","Caribou"," Idaho",12.9,3.1,"36435","2785",16,29
"2571","Cassia"," Idaho",11.8,2.1,"32885","4880",16,31
"2572","Clark"," Idaho",11.3,6.2,"58542","45545",5,19
"2573","Clark"," Idaho",11.3,6.2,"58542","45545",16,33
"2574","Clark"," Idaho",11.3,6.2,"58542","45545",17,23
"2575","Clark"," Idaho",11.3,6.2,"58542","45545",18,19
"2576","Clark"," Idaho",11.3,6.2,"58542","45545",20,25
"2577","Clark"," Idaho",11.3,6.2,"58542","45545",21,49
"2578","Clark"," Idaho",11.3,6.2,"58542","45545",29,45
"2579","Clark"," Idaho",11.3,6.2,"58542","45545",32,3
"2580","Clark"," Idaho",11.3,6.2,"58542","45545",39,23
"2581","Clark"," Idaho",11.3,6.2,"58542","45545",46,25
"2582","Clark"," Idaho",11.3,6.2,"58542","45545",53,11
"2583","Clark"," Idaho",11.3,6.2,"58542","45545",55,19
"2584","Clearwater"," Idaho",26,3.4,"37878","6784",16,35
"2585","Clearwater"," Idaho",26,3.4,"37878","6784",27,29
"2586","Custer"," Idaho",29,6.9,"38606","11756",8,27
"2587","Custer"," Idaho",29,6.9,"38606","11756",16,37
"2588","Custer"," Idaho",29,6.9,"38606","11756",30,17
"2589","Custer"," Idaho",29,6.9,"38606","11756",31,41
"2590","Custer"," Idaho",29,6.9,"38606","11756",40,39
"2591","Custer"," Idaho",29,6.9,"38606","11756",46,33
"2592","Elmore"," Idaho",13.6,2.7,"33438","15193",1,51
"2593","Elmore"," Idaho",13.6,2.7,"33438","15193",16,39
"2594","Franklin"," Idaho",12.1,3.3,"45521","9159",1,59
"2595","Franklin"," Idaho",12.1,3.3,"45521","9159",5,47
"2596","Franklin"," Idaho",12.1,3.3,"45521","9159",12,37
"2597","Franklin"," Idaho",12.1,3.3,"45521","9159",13,119
"2598","Franklin"," Idaho",12.1,3.3,"45521","9159",16,41
"2599","Franklin"," Idaho",12.1,3.3,"45521","9159",17,55
"2600","Franklin"," Idaho",12.1,3.3,"45521","9159",18,47
"2601","Franklin"," Idaho",12.1,3.3,"45521","9159",19,69
"2602","Franklin"," Idaho",12.1,3.3,"45521","9159",20,59
"2603","Franklin"," Idaho",12.1,3.3,"45521","9159",21,73
"2604","Franklin"," Idaho",12.1,3.3,"45521","9159",22,41
"2605","Franklin"," Idaho",12.1,3.3,"45521","9159",23,7
"2606","Franklin"," Idaho",12.1,3.3,"45521","9159",25,11
"2607","Franklin"," Idaho",12.1,3.3,"45521","9159",28,37
"2608","Franklin"," Idaho",12.1,3.3,"45521","9159",29,71
"2609","Franklin"," Idaho",12.1,3.3,"45521","9159",31,61
"2610","Franklin"," Idaho",12.1,3.3,"45521","9159",36,33
"2611","Franklin"," Idaho",12.1,3.3,"45521","9159",37,69
"2612","Franklin"," Idaho",12.1,3.3,"45521","9159",39,49
"2613","Franklin"," Idaho",12.1,3.3,"45521","9159",42,55
"2614","Franklin"," Idaho",12.1,3.3,"45521","9159",47,51
"2615","Franklin"," Idaho",12.1,3.3,"45521","9159",48,159
"2616","Franklin"," Idaho",12.1,3.3,"45521","9159",50,11
"2617","Franklin"," Idaho",12.1,3.3,"45521","9159",51,67
"2618","Franklin"," Idaho",12.1,3.3,"45521","9159",51,620
"2619","Franklin"," Idaho",12.1,3.3,"45521","9159",53,21
"2620","Fremont"," Idaho",16.6,2.8,"38846","16907",8,43
"2621","Fremont"," Idaho",16.6,2.8,"38846","16907",16,43
"2622","Fremont"," Idaho",16.6,2.8,"38846","16907",19,71
"2623","Fremont"," Idaho",16.6,2.8,"38846","16907",56,13
"2624","Gem"," Idaho",22.4,3.9,"40156","6606",16,45
"2625","Gooding"," Idaho",13.5,2.4,"30824","3433",16,47
"2626","Idaho"," Idaho",25.7,3.4,"32603","1989",16,49
"2627","Jefferson"," Idaho",9.8,2.1,"40302","6471",1,73
"2628","Jefferson"," Idaho",9.8,2.1,"40302","6471",5,69
"2629","Jefferson"," Idaho",9.8,2.1,"40302","6471",8,59
"2630","Jefferson"," Idaho",9.8,2.1,"40302","6471",12,65
"2631","Jefferson"," Idaho",9.8,2.1,"40302","6471",13,163
"2632","Jefferson"," Idaho",9.8,2.1,"40302","6471",16,51
"2633","Jefferson"," Idaho",9.8,2.1,"40302","6471",17,81
"2634","Jefferson"," Idaho",9.8,2.1,"40302","6471",18,77
"2635","Jefferson"," Idaho",9.8,2.1,"40302","6471",19,101
"2636","Jefferson"," Idaho",9.8,2.1,"40302","6471",20,87
"2637","Jefferson"," Idaho",9.8,2.1,"40302","6471",21,111
"2638","Jefferson"," Idaho",9.8,2.1,"40302","6471",22,51
"2639","Jefferson"," Idaho",9.8,2.1,"40302","6471",22,53
"2640","Jefferson"," Idaho",9.8,2.1,"40302","6471",28,63
"2641","Jefferson"," Idaho",9.8,2.1,"40302","6471",28,65
"2642","Jefferson"," Idaho",9.8,2.1,"40302","6471",29,99
"2643","Jefferson"," Idaho",9.8,2.1,"40302","6471",30,43
"2644","Jefferson"," Idaho",9.8,2.1,"40302","6471",31,95
"2645","Jefferson"," Idaho",9.8,2.1,"40302","6471",36,45
"2646","Jefferson"," Idaho",9.8,2.1,"40302","6471",39,81
"2647","Jefferson"," Idaho",9.8,2.1,"40302","6471",40,67
"2648","Jefferson"," Idaho",9.8,2.1,"40302","6471",41,31
"2649","Jefferson"," Idaho",9.8,2.1,"40302","6471",42,65
"2650","Jefferson"," Idaho",9.8,2.1,"40302","6471",47,89
"2651","Jefferson"," Idaho",9.8,2.1,"40302","6471",48,245
"2652","Jefferson"," Idaho",9.8,2.1,"40302","6471",53,31
"2653","Jefferson"," Idaho",9.8,2.1,"40302","6471",54,37
"2654","Jefferson"," Idaho",9.8,2.1,"40302","6471",55,55
"2655","Jerome"," Idaho",13,2.5,"27132","3674",16,53
"2656","Kootenai"," Idaho",19.9,1.3,"46128","3310",16,55
"2657","Latah"," Idaho",12.6,1.7,"41955","6334",16,57
"2658","Lemhi"," Idaho",21.1,4.8,"35000","4232",16,59
"2659","Lewis"," Idaho",21,3.3,"37125","5406",16,61
"2660","Lewis"," Idaho",21,3.3,"37125","5406",21,135
"2661","Lewis"," Idaho",21,3.3,"37125","5406",29,111
"2662","Lewis"," Idaho",21,3.3,"37125","5406",30,49
"2663","Lewis"," Idaho",21,3.3,"37125","5406",36,49
"2664","Lewis"," Idaho",21,3.3,"37125","5406",47,101
"2665","Lewis"," Idaho",21,3.3,"37125","5406",53,41
"2666","Lewis"," Idaho",21,3.3,"37125","5406",54,41
"2667","Lincoln"," Idaho",12.3,3,"26442","8298",5,79
"2668","Lincoln"," Idaho",12.3,3,"26442","8298",8,73
