"","county","State","percent_white","percent_black","percent_indigenous","percent_asian","percent_pacific_islander","percent_hispanic_latino","state_fips_code","county_fips_code"
"1","Autauga"," Alabama",78.6,19.9,0.8,1.6,0.2,2.8,1,1
"2","Baldwin"," Alabama",87.8,9.8,1.5,1.4,0,4.5,1,3
"3","Baldwin"," Alabama",87.8,9.8,1.5,1.4,0,4.5,13,9
"4","Barbour"," Alabama",48.3,48.5,1.2,0.6,0,4.3,1,5
"5","Barbour"," Alabama",48.3,48.5,1.2,0.6,0,4.3,54,1
"6","Bibb"," Alabama",77.4,22.7,0.4,0.2,0,2.4,1,7
"7","Bibb"," Alabama",77.4,22.7,0.4,0.2,0,2.4,13,21
"8","Blount"," Alabama",97.1,1.9,1.2,0.5,0.1,9.1,1,9
"9","Blount"," Alabama",97.1,1.9,1.2,0.5,0.1,9.1,47,9
"10","Bullock"," Alabama",22,76.2,1.2,0.5,0,0.5,1,11
"11","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,1,13
"12","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,19,23
"13","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,20,15
"14","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,21,31
"15","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,29,23
"16","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,31,23
"17","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,39,17
"18","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,42,19
"19","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,1,15
"20","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,5,13
"21","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,12,13
"22","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,13,37
"23","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,17,13
"24","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,19,25
"25","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,26,25
"26","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,28,13
"27","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,45,17
"28","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,48,57
"29","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,54,13
"30","Chambers"," Alabama",58.6,40.1,0.5,1.3,0,2.3,1,17
"31","Chambers"," Alabama",58.6,40.1,0.5,1.3,0,2.3,48,71
"32","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,1,19
"33","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,13,57
"34","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,19,35
"35","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,20,21
"36","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,37,39
"37","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,40,21
"38","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,45,21
"39","Cherokee"," Alabama",93.5,5.2,1.5,0.2,0.1,1.5,48,73
"40","Chilton"," Alabama",85.5,10.8,1.2,0.5,0,7.8,1,21
"41","Choctaw"," Alabama",57,42.9,0.2,0.1,0,0.6,1,23
"42","Choctaw"," Alabama",57,42.9,0.2,0.1,0,0.6,28,19
"43","Choctaw"," Alabama",57,42.9,0.2,0.1,0,0.6,40,23
"44","Clarke"," Alabama",53.6,46.2,0.2,0.5,0,0.2,1,25
"45","Clarke"," Alabama",53.6,46.2,0.2,0.5,0,0.2,13,59
"46","Clarke"," Alabama",53.6,46.2,0.2,0.5,0,0.2,19,39
"47","Clarke"," Alabama",53.6,46.2,0.2,0.5,0,0.2,28,23
"48","Clarke"," Alabama",53.6,46.2,0.2,0.5,0,0.2,51,43
"49","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,1,27
"50","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,5,21
"51","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,12,19
"52","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,13,61
"53","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,17,25
"54","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,18,21
"55","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,19,41
"56","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,20,27
"57","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,21,51
"58","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,27,27
"59","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,28,25
"60","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,29,47
"61","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,31,35
"62","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,37,43
"63","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,46,27
"64","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,47,27
"65","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,48,77
"66","Clay"," Alabama",83.7,15.2,1.4,0.1,0,3.1,54,15
"67","Cleburne"," Alabama",96.1,4.1,0.7,0.2,0,2.4,1,29
"68","Cleburne"," Alabama",96.1,4.1,0.7,0.2,0,2.4,5,23
"69","Coffee"," Alabama",78.6,18.5,2.7,2.1,0.1,6.9,1,31
"70","Coffee"," Alabama",78.6,18.5,2.7,2.1,0.1,6.9,13,69
"71","Coffee"," Alabama",78.6,18.5,2.7,2.1,0.1,6.9,47,31
"72","Colbert"," Alabama",81.5,17,1.5,0.8,0.1,2.5,1,33
"73","Conecuh"," Alabama",51.7,47.9,0.5,0.7,0,0.8,1,35
"74","Coosa"," Alabama",65.7,34.2,0.1,0,0,0.5,1,37
"75","Covington"," Alabama",86.2,13.4,1.2,0.6,0,1.6,1,39
"76","Covington"," Alabama",86.2,13.4,1.2,0.6,0,1.6,28,31
"77","Covington"," Alabama",86.2,13.4,1.2,0.6,0,1.6,51,580
"78","Crenshaw"," Alabama",73.5,24.9,1.2,1.4,0,2,1,41
"79","Cullman"," Alabama",96.9,1.7,1.3,0.7,0,4.3,1,43
"80","Dale"," Alabama",75.5,21.6,1.8,2.4,0.1,6.2,1,45
"81","Dallas"," Alabama",28.6,70.8,0.5,0.6,0.1,1,1,47
"82","Dallas"," Alabama",28.6,70.8,0.5,0.6,0.1,1,5,39
"83","Dallas"," Alabama",28.6,70.8,0.5,0.6,0.1,1,19,49
"84","Dallas"," Alabama",28.6,70.8,0.5,0.6,0.1,1,29,59
"85","Dallas"," Alabama",28.6,70.8,0.5,0.6,0.1,1,48,113
"86","DeKalb"," Alabama",87.9,2,2.6,0.5,0.9,14.4,1,49
"87","DeKalb"," Alabama",87.9,2,2.6,0.5,0.9,14.4,13,89
"88","DeKalb"," Alabama",87.9,2,2.6,0.5,0.9,14.4,17,37
"89","DeKalb"," Alabama",87.9,2,2.6,0.5,0.9,14.4,18,33
"90","DeKalb"," Alabama",87.9,2,2.6,0.5,0.9,14.4,29,63
"91","DeKalb"," Alabama",87.9,2,2.6,0.5,0.9,14.4,47,41
"92","Elmore"," Alabama",76.7,22.2,0.9,1.1,0.2,2.9,1,51
"93","Elmore"," Alabama",76.7,22.2,0.9,1.1,0.2,2.9,16,39
"94","Escambia"," Alabama",62.9,32.6,4.4,0.4,0.2,2.2,1,53
"95","Escambia"," Alabama",62.9,32.6,4.4,0.4,0.2,2.2,12,33
"96","Etowah"," Alabama",82,16.6,1.4,0.9,0.1,3.8,1,55
"97","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,1,57
"98","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,13,113
"99","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,17,51
"100","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,18,41
"101","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,19,65
"102","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,21,67
"103","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,39,47
"104","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,42,51
"105","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,47,47
"106","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,48,149
"107","Fayette"," Alabama",86.8,13.9,0.5,0.8,0.4,1.7,54,19
"108","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,1,59
"109","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,5,47
"110","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,12,37
"111","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,13,119
"112","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,16,41
"113","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,17,55
"114","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,18,47
"115","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,19,69
"116","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,20,59
"117","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,21,73
"118","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,22,41
"119","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,23,7
"120","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,25,11
"121","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,28,37
"122","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,29,71
"123","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,31,61
"124","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,36,33
"125","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,37,69
"126","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,39,49
"127","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,42,55
"128","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,47,51
"129","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,48,159
"130","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,50,11
"131","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,51,67
"132","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,51,620
"133","Franklin"," Alabama",84.9,4.8,2.1,0.7,0,16.9,53,21
"134","Geneva"," Alabama",88.3,10.5,1.6,0.5,0,3.9,1,61
"135","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,1,63
"136","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,5,55
"137","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,13,133
"138","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,17,61
"139","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,18,55
"140","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,19,73
"141","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,28,41
"142","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,29,77
"143","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,36,39
"144","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,37,79
"145","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,39,57
"146","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,42,59
"147","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,47,59
"148","Greene"," Alabama",19.5,81.8,2.4,0.5,0,1.7,51,79
"149","Hale"," Alabama",40.1,59,0.2,0.3,0,0.9,1,65
"150","Hale"," Alabama",40.1,59,0.2,0.3,0,0.9,48,189
"151","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,1,67
"152","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,13,151
"153","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,17,73
"154","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,18,65
"155","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,19,87
"156","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,21,103
"157","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,29,83
"158","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,39,69
"159","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,47,79
"160","Henry"," Alabama",72,28,0.4,0.2,0.2,2.6,51,89
"161","Houston"," Alabama",71.2,27.9,1.1,1.3,0,3.3,1,69
"162","Houston"," Alabama",71.2,27.9,1.1,1.3,0,3.3,13,153
"163","Houston"," Alabama",71.2,27.9,1.1,1.3,0,3.3,27,55
"164","Houston"," Alabama",71.2,27.9,1.1,1.3,0,3.3,47,83
"165","Houston"," Alabama",71.2,27.9,1.1,1.3,0,3.3,48,225
"166","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,1,71
"167","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,5,67
"168","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,8,57
"169","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,12,63
"170","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,13,157
"171","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,17,77
"172","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,18,71
"173","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,19,97
"174","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,20,85
"175","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,21,109
"176","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,22,49
"177","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,26,75
"178","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,27,63
"179","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,28,59
"180","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,29,95
"181","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,37,99
"182","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,39,79
"183","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,40,65
"184","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,41,29
"185","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,46,71
"186","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,47,87
"187","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,48,239
"188","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,54,35
"189","Jackson"," Alabama",93.7,3.9,3.2,0.6,0.2,2.9,55,53
"190","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,1,73
"191","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,5,69
"192","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,8,59
"193","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,12,65
"194","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,13,163
"195","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,16,51
"196","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,17,81
"197","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,18,77
"198","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,19,101
"199","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,20,87
"200","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,21,111
"201","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,22,51
"202","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,22,53
"203","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,28,63
"204","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,28,65
"205","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,29,99
"206","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,30,43
"207","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,31,95
"208","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,36,45
"209","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,39,81
"210","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,40,67
"211","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,41,31
"212","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,42,65
"213","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,47,89
"214","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,48,245
"215","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,53,31
"216","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,54,37
"217","Jefferson"," Alabama",53.3,43.6,0.7,2,0.1,3.8,55,55
"218","Lamar"," Alabama",88,11.5,0.2,0,0,1.6,1,75
"219","Lamar"," Alabama",88,11.5,0.2,0,0,1.6,13,171
"220","Lamar"," Alabama",88,11.5,0.2,0,0,1.6,28,73
"221","Lamar"," Alabama",88,11.5,0.2,0,0,1.6,48,277
"222","Lauderdale"," Alabama",88.5,10.9,0.9,0.9,0.1,2.6,1,77
"223","Lauderdale"," Alabama",88.5,10.9,0.9,0.9,0.1,2.6,28,75
"224","Lauderdale"," Alabama",88.5,10.9,0.9,0.9,0.1,2.6,47,97
"225","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,1,79
"226","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,5,75
"227","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,17,101
"228","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,18,93
"229","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,21,127
"230","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,28,77
"231","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,29,109
"232","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,39,87
"233","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,42,73
"234","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,46,81
"235","Lawrence"," Alabama",82.6,11.7,9.7,0.4,0.1,2.1,47,99
"236","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,1,81
"237","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,5,77
"238","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,12,71
"239","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,13,177
"240","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,17,103
"241","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,19,111
"242","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,21,129
"243","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,28,81
"244","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,37,105
"245","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,45,61
"246","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,48,287
"247","Lee"," Alabama",72,24,0.7,4.5,0.1,3.7,51,105
"248","Limestone"," Alabama",82.5,14.2,1.4,1.8,0.2,5.9,1,83
"249","Limestone"," Alabama",82.5,14.2,1.4,1.8,0.2,5.9,48,293
"250","Lowndes"," Alabama",25.6,74.8,0.7,0,0,0.7,1,85
"251","Lowndes"," Alabama",25.6,74.8,0.7,0,0,0.7,13,185
"252","Lowndes"," Alabama",25.6,74.8,0.7,0,0,0.7,28,87
"253","Macon"," Alabama",16.2,82.7,0.6,0.3,0,1.7,1,87
"254","Macon"," Alabama",16.2,82.7,0.6,0.3,0,1.7,13,193
"255","Macon"," Alabama",16.2,82.7,0.6,0.3,0,1.7,17,115
"256","Macon"," Alabama",16.2,82.7,0.6,0.3,0,1.7,29,121
"257","Macon"," Alabama",16.2,82.7,0.6,0.3,0,1.7,37,113
"258","Macon"," Alabama",16.2,82.7,0.6,0.3,0,1.7,47,111
"259","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,1,89
"260","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,5,87
"261","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,12,79
"262","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,13,195
"263","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,16,65
"264","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,17,119
"265","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,18,95
"266","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,19,121
"267","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,21,151
"268","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,22,65
"269","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,28,89
"270","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,29,123
"271","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,30,57
"272","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,31,119
"273","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,36,53
"274","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,37,115
"275","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,39,97
"276","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,47,113
"277","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,48,313
"278","Madison"," Alabama",70.9,25.6,1.8,3.5,0.3,4.8,51,113
"279","Marengo"," Alabama",45.6,53.9,0.5,0,0,0.6,1,91
"280","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,1,93
"281","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,5,89
"282","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,12,83
"283","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,13,197
"284","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,17,121
"285","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,18,97
"286","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,19,125
"287","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,20,115
"288","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,21,155
"289","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,28,91
"290","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,29,127
"291","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,39,101
"292","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,41,47
"293","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,45,67
"294","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,47,115
"295","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,48,315
"296","Marion"," Alabama",94.7,4.7,1,0.4,0.1,2.5,54,49
"297","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,1,95
"298","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,17,123
"299","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,18,99
"300","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,19,127
"301","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,20,117
"302","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,21,157
"303","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,27,89
"304","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,28,93
"305","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,40,95
"306","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,46,91
"307","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,47,117
"308","Marshall"," Alabama",94.1,3,1.5,0.8,0.1,13.6,54,51
"309","Mobile"," Alabama",60.3,36.4,1.5,2.3,0.1,2.9,1,97
"310","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,1,99
"311","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,5,95
"312","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,12,87
"313","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,13,207
"314","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,17,133
"315","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,18,105
"316","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,19,135
"317","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,21,171
"318","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,26,115
"319","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,28,95
"320","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,29,137
"321","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,36,55
"322","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,39,111
"323","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,42,89
"324","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,47,123
"325","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,54,63
"326","Monroe"," Alabama",56.2,42.6,2.5,0.6,0,1.4,55,81
"327","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,1,101
"328","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,5,97
"329","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,13,209
"330","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,17,135
"331","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,18,107
"332","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,19,137
"333","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,20,125
"334","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,21,173
"335","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,24,31
"336","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,28,97
"337","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,29,139
"338","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,36,57
"339","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,37,123
"340","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,39,113
"341","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,42,91
"342","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,47,125
"343","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,48,339
"344","Montgomery"," Alabama",37.9,58.6,0.6,3.3,0.1,3.4,51,121
"345","Morgan"," Alabama",82.4,13.4,1.7,0.9,0,8.1,1,103
