"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18"
"63","AL","Tallapoosa County",19.5,32.9,29.2,18.3
"64","AL","Tuscaloosa County",11.6,29.9,28.3,30.3
"65","AL","Walker County",19.1,37.1,32.2,11.6
"66","AL","Washington County",19.6,43.2,26.1,11.1
"67","AL","Wilcox County",23.1,40.3,24.1,12.5
"68","AL","Winston County",21.9,37.4,27.3,13.5
"69","AK","Alaska",7.3,28,35.5,29.2
"70","AK","Aleutian Islands",NA,NA,NA,NA
"71","AK","Aleutians East Borough",13.6,40.2,33.4,12.7
"72","AK","Aleutians West Census Area",11.2,40.5,31.9,16.4
"73","AK","Anchorage Municipality",6.2,23.8,34.7,35.3
"74","AK","Bethel Census Area",18.6,45.2,23.9,12.3
"75","AK","Bristol Bay Borough",5.6,34.9,37.2,22.3
"76","AK","Denali Borough",1.6,26.1,28.8,43.5
"77","AK","Dillingham Census Area",12.7,39.2,28.8,19.3
"78","AK","Fairbanks North Star Borough",5.5,22.3,39.7,32.6
"79","AK","Haines Borough",3,30,29.5,37.4
"80","AK","Hoonah-Angoon Census Area",8.5,35.6,32.5,23.4
"81","AK","Juneau City and Borough",3.9,20.4,36.2,39.5
"82","AK","Kenai Peninsula Borough",7.2,32.2,37.3,23.3
"83","AK","Ketchikan Gateway Borough",7.3,29.9,38.3,24.5
"84","AK","Kodiak Island Borough",10.1,31.3,32.6,26
"85","AK","Kusilvak Census Area",22.3,53.6,19.3,4.8
"86","AK","Kuskokwim Division",NA,NA,NA,NA
"87","AK","Lake and Peninsula Borough",14.5,41.9,27.9,15.8
"88","AK","Matanuska-Susitna Borough",7.6,32.2,39,21.2
"89","AK","Nome Census Area",15.9,42.9,26.6,14.6
"90","AK","North Slope Borough",10.2,43,30.2,16.6
"91","AK","Northwest Arctic Borough",18.1,47.3,22.8,11.7
"92","AK","Petersburg Census Area",10.3,31.9,30.3,27.6
"93","AK","Prince of Wales-Hyder Census Area",9.8,37.3,35.3,17.6
"94","AK","Prince of Wales-Outer Ketchikan Census Area",NA,NA,NA,NA
"95","AK","Sitka City and Borough",6,28.3,33,32.6
"96","AK","Skagway Municipality",6.3,23.4,36.6,33.7
"97","AK","Skagway-Yakutat-Angoon Census Area",NA,NA,NA,NA
"98","AK","Skagway-Hoonah-Angoon Census Area",NA,NA,NA,NA
"99","AK","Southeast Fairbanks Census Area",9.8,32.6,38.5,19.1
"100","AK","Upper Yukon Division",NA,NA,NA,NA
"101","AK","Valdez-Cordova Census Area",4,32.7,32.7,30.6
"102","AK","Wrangell City and Borough",11.7,37.6,30,20.7
"103","AK","Wrangell-Petersburg Census Area",NA,NA,NA,NA
"104","AK","Yakutat City and Borough",8.2,38.4,33.5,20
"105","AK","Yukon-Koyukuk Census Area",14.3,40.3,32,13.4
"106","AZ","Arizona",13.2,24,33.9,28.9
"107","AZ","Apache County",20.4,33.1,34.8,11.7
"108","AZ","Cochise County",12.8,23.5,40.7,23
"109","AZ","Coconino County",10.4,21.4,32.6,35.6
